counter_id,longitude,latitude
MMM_EcoCompt_X2H19070220,3.89694,43.609699
MMM_EcoCompt_X2H20042632,3.81324,43.5907
MMM_EcoCompt_X2H20042633,3.8336,43.61465
MMM_EcoCompt_X2H20042634,3.93327,43.57926
MMM_EcoCompt_X2H20042635,3.93324,43.57883
MMM_EcoCompt_X2H20063161,3.909632,43.615742
MMM_EcoCompt_X2H20063162,3.868467,43.613884
MMM_EcoCompt_X2H20063163,3.895629,43.626698
MMM_EcoCompt_X2H20063164,3.895629,43.626698
MMM_EcoCompt_X2H20104132,3.89379,43.62959
MMM_EcoCompt_X2H21070341,3.85339,43.62387
MMM_EcoCompt_X2H21070342,3.85339,43.62387
MMM_EcoCompt_X2H21070343,3.867914,43.67179
MMM_EcoCompt_X2H21070344,3.863965,43.606275
MMM_EcoCompt_X2H21070345,3.859721,43.585203
MMM_EcoCompt_X2H21070346,3.913031,43.671214
MMM_EcoCompt_X2H21070347,3.867914,43.67179
MMM_EcoCompt_X2H21070348,3.913589,43.610301
MMM_EcoCompt_X2H21070349,3.852038,43.631989
MMM_EcoCompt_X2H21070350,3.887153,43.539352
MMM_EcoCompt_X2H21070351,3.907998,43.584349
MMM_EcoCompt_X2H21111120,3.8683,43.6167
MMM_EcoCompt_X2H21111121,3.87009,43.61464
MMM_EcoCompt_X2H22043029,3.855992,43.648909
MMM_EcoCompt_X2H22043030,3.815625,43.614932
MMM_EcoCompt_X2H22043031,3.929538,43.637601
MMM_EcoCompt_X2H22043032,3.929726,43.637508
MMM_EcoCompt_X2H22043033,3.89867,43.59888
MMM_EcoCompt_X2H22043034,3.8677,43.60381
MMM_EcoCompt_X2H22043035,3.86779,43.60383
MMM_EcoCompt_X2H22104765,3.6988,43.538
MMM_EcoCompt_X2H22104766,3.8224,43.6452
MMM_EcoCompt_X2H22104767,3.915,43.6316
MMM_EcoCompt_X2H22104768,3.8899,43.6115
MMM_EcoCompt_X2H22104769,3.8617,43.5754
MMM_EcoCompt_X2H22104770,3.8613,43.5842
MMM_EcoCompt_X2H22104771,3.9089,43.6233
MMM_EcoCompt_X2H22104772,3.9089,43.6232
MMM_EcoCompt_X2H22104773,3.8981,43.614
MMM_EcoCompt_X2H22104774,3.8981,43.614
MMM_EcoCompt_X2H22104775,3.8776,43.6001
MMM_EcoCompt_X2H22104776,3.8776,43.6001
MMM_EcoCompt_X2H22104777,3.8847,43.614
MMM_EcoCompt_XTH19101158,3.874408,43.616209
MMM_EcoCompt_XTH21015106,3.800261,43.589824
