nearest_node,intensity
267851583,1695
229431950,266
7299660144,1029
281010343,224
281012078,883
6336352828,637
251344024,1350
6255493119,1017
6255493119,99
1613000999,110
6268096127,487
6268096127,511
11841696518,58
7600418559,1885
5427413137,135
1871513446,232
11841696518,63
4504740679,719
1111360458,1991
351104107,357
1393562177,742
132905596,874
2564150470,327
3781186713,611
3672395064,222
3810599568,46
1560664559,2248
305440053,396
305440053,481
2691617354,147
454475404,304
1740165393,495
6356023509,703
246625169,61
3072514180,122
6427203669,222
3803865975,490
6375727006,444
6375727006,422
283301013,433
283301013,403
977654216,1954
1992324455,1563
246630821,341
